Website,Trustworthiness,Avg_Daily_Visitors,Child_Safety,Avg_Daily_Pageviews,Privacy,Facebook_likes,Twitter_mentions,Google_pluses,LinkedIn_mentions,Pinterest_pins,StumbleUpon_views,Traffic_Rank,Reach_Day,Month_Average_Daily_Reach,Daily_Pageviews,Month_Average_Daily_Pageviews,Daily_Pageviews_per_user,Location,Hosted_by,Registrar,subnetwork_count,Status
express.hr,Unknown,42721.0,Unknown,68354.0,Unknown,3,11,46,35,0,41,29678,0.003534,0.003553,0.000124,0.000142,1.528,Croatia,24sata doo,CARNet - Croatian Academic and Research Network,1,Risky
google.com.cu,Excellent,1845312.0,Excellent,5602092.0,Excellent,2,185,26,7,0,1540,1300,0.04128,0.044832,0.00743,0.008292,6.816,United States,Google Inc.,Unknown,1,Risky
revolico.com,Good,109392.0,Poor,1312710.0,Good,2,208,1970,13,0,4,7178,0.007104,0.00865,0.002208,0.002285,12.48,United States,"CloudFlare, Inc.","GODADDY.COM, LLC",2,Safe
cubadebate.cu,Excellent,165898.0,Excellent,564055.0,Excellent,8,3,240,26,0,14,5942,0.009216,0.013824,0.00071,0.001152,2.88,Japan,"ASAHI Net,Inc.",Unknown,2,Risky
etecsa.net,Unknown,132027.0,Unknown,224446.0,Unknown,2,185,2065,56,0,63,10017,0.01337,0.012129,0.000506,0.000486,1.528,Unknown,Unknown,BB ONLINE LTD,1,Risky
sld.cu,Excellent,193918.0,Excellent,764038.0,Excellent,2,1,6,19,0,1,5832,0.0144,0.015264,0.001248,0.001411,3.168,Cuba,Infomed,Unknown,1,Risky
cubava.cu,Good,47351.0,Excellent,217815.0,Good,2,49,2065,56,0,63,29415,0.002292,0.00383,0.000392,0.000352,6.685,Cuba,ETECSA,Unknown,3,Risky
nauta.cu,Unknown,55261.0,Unknown,132628.0,Unknown,2,185,7,2,0,63,21454,0.006876,0.003916,0.000372,0.000238,2.0055,Unknown,Unknown,Unknown,1,Risky
granma.cu,Excellent,95065.0,Excellent,209143.0,Excellent,3,50,2160,2,0,202,12822,0.008595,0.007172,0.000401,0.000361,2.0055,Cuba,ETECSA,Unknown,2,Risky
jovenclub.cu,Excellent,37407.0,Excellent,168335.0,Excellent,2,1,2065,56,0,3,26072,0.00277,0.002961,0.000296,0.000329,4.584,Cuba,ETECSA,Unknown,1,Risky
uci.cu,Excellent,35095.0,Excellent,350953.0,Excellent,1,4,2065,8,0,63,23683,0.001719,0.002579,0.000201,0.000588,4.775,Cuba,Universidad de Inform?tica,Unknown,1,Risky
rt.com,Excellent,2464930.0,Excellent,7025049.0,Excellent,4,114000,202000,932,0,1030,346,0.19584,0.20736,0.013728,0.013594,2.6304,Unknown,Unknown,"NETWORK SOLUTIONS, LLC.",1,Risky
porlalivre.com,Unknown,29177.0,Unknown,218835.0,Unknown,2,8,2,56,0,63,26922,0.002865,0.002292,0.00042,0.00044,6.0165,Unknown,Unknown,GANDI SAS,2,Risky
